Person Id,Course Short Name,Course Start Date,Course End Date,Course Flight Hours,E2E Course Days
568687,1 Intro,01/02/2019,02/16/2019,13.4,45
568687,4 Com Sgl,02/16/2019,07/03/2019,98.7,137
568687,5 Com Mul,03/11/2020,08/27/2020,15.8,169
568687,8 CFII,10/14/2019,11/26/2019,5.8,43
568688,1 Intro,01/02/2019,01/21/2019,9.0,19
568690,2 Private,12/18/2018,04/22/2019,69.7,125
568690,3 Inst,04/29/2019,07/31/2019,43.4,93
568690,4 Com Sgl,08/21/2019,01/30/2020,122.3,162
568690,5 Com Mul,03/01/2021,04/16/2021,20.0,46
568690,6 CFI,02/03/2020,07/28/2020,22.6,176
568690,8 CFII,10/29/2020,12/10/2020,8.3,42
568690,9 MEI,04/20/2021,10/05/2021,17.1,168
568691,2 Private,12/18/2018,06/01/2019,64.1,165
568691,3 Inst,06/13/2019,08/28/2019,35.1,76
568691,4 Com Sgl,08/29/2019,12/18/2019,124.2,111
568691,5 Com Mul,03/23/2020,06/15/2020,19.7,84
568691,6 CFI,01/17/2020,03/08/2020,14.6,51
568691,8 CFII,06/16/2020,07/10/2020,7.1,24
568692,2 Private,12/18/2018,04/17/2019,43.5,120
568692,3 Inst,05/14/2019,08/10/2019,42.0,88
568692,4 Com Sgl,09/04/2019,06/07/2020,136.8,277
568692,5 Com Mul,04/29/2021,08/07/2021,23.8,100
568692,6 CFI,03/16/2020,12/15/2020,21.7,274
568692,8 CFII,12/28/2020,04/27/2021,16.7,120
568694,2 Private,12/18/2018,04/10/2019,53.2,113
568694,3 Inst,04/16/2019,07/03/2019,42.2,78
568694,4 Com Sgl,08/01/2019,02/16/2020,130.8,199
568694,5 Com Mul,02/01/2021,03/10/2021,22.5,37
568694,6 CFI,02/03/2020,07/14/2020,17.2,162
568694,8 CFII,08/03/2020,12/29/2020,14.5,148
568694,9 MEI,03/10/2021,04/19/2021,18.2,40
568696,2 Private,12/18/2018,08/15/2019,66.6,240
568696,3 Inst,08/31/2019,08/12/2020,67.1,347
568696,4 Com Sgl,08/19/2020,05/08/2021,121.0,262
568696,5 Com Mul,05/17/2021,07/14/2021,23.4,58
568696,6 CFI,06/09/2021,09/08/2021,23.0,91
